Paper ID,Type,Title,github,Author(s)
429,Poster,Future Frame Prediction for Anomaly Detection  A New Baseline,https://github.com/StevenLiuWen/ano_pred_cvpr2018,"Wen Liu, ShanghaiTech University; Weixin Luo, Shanghaitech University; Dongze Lian, ShanghaiTech University; Shenghua Gao, ShanghaiTech University"
744,Oral,Taskonomy: Disentangling Task Transfer Learning,https://github.com/StanfordVL/taskonomy,"Alexander Sax, Stanford University; William Shen, ; Amir Zamir, Stanford, UC Berkeley; Jitendra Malik, ; Silvio Savarese, ; Leonidas J. Guibas,"
2541,Poster,Weakly-Supervised Semantic Segmentation Network with Deep Seeded Region Growing,https://github.com/speedinghzl/DSRG,"Zilong Huang, HUST; Xinggang Wang, ; Jiasi Wang, HUST; Wenyu Liu, ; Jingdong Wang, Microsoft Research"
2951,Spotlight,High Performance Visual Tracking with Siamese Region Proposal Network,https://github.com/songdejia/Siamese-RPN-pytorch,"Bo Li, SenseTime ; Wei Wu, ; Zheng Zhu, Institute of Automation, CAS; Junjie Yan,"
2312,Poster,Learning a Discriminative Filter Bank within a CNN for Fine-grained Recognition,https://github.com/songdejia/DFL-CNN,"Yaming Wang, University of Maryland; Vlad Morariu, University of Maryland; Larry Davis, University of Maryland, USA"
948,Poster,Image-Image Domain Adaptation with Preserved Self-Similarity and Domain-Dissimilarity for Person Re-identification,https://github.com/Simon4Yan/Learning-via-Translation,"Weijian Deng, University of Chinese Academy; Liang Zheng, University of Texas at San Ant; GUOLIANG KANG, UTS; Yi Yang, ; Qixiang Ye, ; Jianbin Jiao,"
5,Poster,Single-Shot Refinement Neural Network for Object Detection,https://github.com/sfzhang15/RefineDet,"Shifeng Zhang, CBSR, NLPR, CASIA; Longyin Wen, GE Global Research Center; Xiao Bian, ; Zhen Lei, Chinese Academy of Sciences ; Stan Li,"
1520,Spotlight,Attentive Generative Adversarial Network for Raindrop Removal from A Single Image,https://github.com/rui1996/DeRaindrop,"Rui Qian, Peking University; Robby Tan, Yale-NUS College Also, Electrical and Computer Engineering, NUS; Wenhan Yang, Peking University; Jiajun Su, Peking University; Jiaying Liu, Peking University"
1163,Oral,Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering,https://github.com/peteanderson80/bottom-up-attention,"Peter Anderson, Australian National University; Xiaodong He, ; Chris Buehler, ; Damien Teney, Unversity of Adelaide; Mark Johnson, Macquarie University; Stephen Gould, Australian National University; Lei Zhang, Microsoft"
326,Oral,SPLATNet: Sparse Lattice Networks for Point Cloud Processing,https://github.com/NVlabs/splatnet,"Hang Su, University of Massachusetts, Amherst; Varun Jampani, NVIDIA Research; Deqing Sun, NVIDIA; Evangelos Kalogerakis, UMass; Subhransu Maji, ; Ming-Hsuan Yang, UC Merced; Jan Kautz, NVIDIA"
266,Oral,"PWC-Net: CNNs for Optical Flow Using Pyramid, Warping, and Cost Volume",https://github.com/NVlabs/PWC-Net,"Deqing Sun, NVIDIA; Xiaodong Yang, NVIDIA; Ming-Yu Liu, NVIDIA; Jan Kautz, NVIDIA"
168,Spotlight,MapNet: Geometry-Aware Learning of Maps for Camera Localization,https://github.com/NVlabs/geomapnet,"Samarth Brahmbhatt, Georgia Tech; Jinwei Gu, NVIDIA; Kihwan Kim, NVIDIA Research; James Hays, Georgia Tech; Jan Kautz, NVIDIA"
768,Oral,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs,https://github.com/NVIDIA/pix2pixHD,"Ting-Chun Wang, NVIDIA; Ming-Yu Liu, NVIDIA; Jun-Yan Zhu, UC Berkeley; Andrew Tao, NVIDIA; Bryan Catanzaro, NVIDIA; Jan Kautz, NVIDIA"
1164,Poster,Cross-Domain Weakly-Supervised Object Detection through Progressive Domain Adaptation,https://github.com/naoto0804/cross-domain-detection,"Naoto Inoue, The University of Tokyo; Ryosuke Furuta, The University of Tokyo; Toshihiko Yamasaki, The University of Tokyo; Kiyoharu Aizawa,"
2496,Spotlight,Mesoscopic Facial Geometry inference Using Deep Neural Networks,https://github.com/msracver/Relation-Networks-for-Object-Detection,"Loc Huynh, USC ICT; Weikai Chen, USC ICT; Shunsuke Saito, ; Jun Xing, ICT; Koki Nagano, Pinscreen, Inc; Andrew Jones, USC ICT; Paul Debevec, USC ICT; Hao Li,"
2548,Poster,V2V-PoseNet: Voxel-to-Voxel Prediction Network for Accurate 3D Hand and Human Pose Estimation from a Single Depth Map,https://github.com/mks0601/V2V-PoseNet_RELEASE,"Gyeongsik Moon, Seoul National University; Ju Yong Chang, Kwangwoon University; Kyoung Mu Lee,"
2201,Poster,SO-Net: Self-Organizing Network for Point Cloud Analysis,https://github.com/lijx10/SO-Net,"Jiaxin Li, National University of Singapore; Ben Chen, National Univ of Singapore; Gim Hee Lee, National University of SIngapore"
2650,Oral,Wasserstein Introspective Neural Networks,https://github.com/kjunelee/WINN,"Kwonjoon Lee, UC San Diego; Weijian Xu, UC San Diego; Fan Fan, UC San Diego; Zhuowen Tu, UCSD, USA"
2672,Spotlight,Person Transfer GAN to Bridge Domain Gap for Person Re-Identification,https://github.com/JoinWei-PKU/PTGAN,"Longhui Wei, Peking University; Shiliang Zhang, Peking University; Wen Gao, ; Qi Tian,"
420,Poster,Learning Pixel-level Semantic Affinity with Image-level Supervision for Weakly Supervised Semantic Segmentation,https://github.com/jiwoon-ahn/psa,"Jiwoon Ahn, DGIST; Suha Kwak, POSTECH"
2959,Poster,Pyramid Stereo Matching Network,https://github.com/JiaRenChang/PSMNet,"Jia-Ren Chang, National Chiao Tung University; Yong-Sheng Chen, National Chiao Tung University"
1699,Poster,FOTS: Fast Oriented Text Spotting with a Unified Network,https://github.com/jiangxiluning/FOTS.PyTorch,"Xuebo Liu, SenseTime Group Ltd.; Ding Liang, Sensetime; Shi Yan, SenseTime; Dagui Chen, SenseTime; Yu Qiao, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences; Junjie Yan,"
475,Poster,Towards Faster Training of Global Covariance Pooling Networks by Iterative Matrix Square Root Normalization,https://github.com/jiangtaoxie/fast-MPN-COV,"Peihua Li, ; Jiangtao Xie, ; Qilong Wang, ; Zilin Gao, Dalian University of Technology"
1724,Oral,Convolutional Neural Networks with Alternately Updated Clique,https://github.com/iboing/CliqueNet,"Yibo Yang, Peking Univ.; Zhisheng Zhong, ; Tiancheng Shen, ; Zhouchen Lin, Peking University, China"
1287,Oral,Squeeze-and-Excitation Networks,https://github.com/hujie-frank/SENet,"Jie Hu, Momenta; Li Shen, University of Oxford; Gang Sun, Momenta"
48,Poster,Density-aware Single Image De-raining using a Multi-stream Dense Network,https://github.com/hezhangsprinter/DID-MDN,"He Zhang, Rutgers; Vishal Patel,"
49,Poster,Densely Connected Pyramid Dehazing Network,https://github.com/hezhangsprinter/DCPDN,"He Zhang, Rutgers; Vishal Patel,"
3409,Poster,Efficient Interactive Annotation of Segmentation Datasets with Polygon-RNN++,https://github.com/fidler-lab/polyrnn-pp-pytorch,"David Acuna, University of Toronto; Huan Ling, UofT; Amlan Kar, University of Toronto; Sanja Fidler,"
1645,Poster,LiDAR-Video Driving Dataset: Learning Driving Policies Effectively,https://github.com/driving-behavior/DBNet,"Yiping Chen, Xiamen University; Jingkang Wang, Shanghai Jiao Tong University; Cewu Lu, Shanghai Jiao Tong University; Zhipeng Luo, Xiamen University; Jonathan Li, University of Waterloo; Han Xue, Shanghai Jiao Tong University; Cheng Wang, Xiamen University"
431,Poster,Learning to Compare: Relation Network for Few-Shot Learning,https://github.com/dragen1860/LearningToCompare-Pytorch,"Flood Sung, Independent Researcher; Yongxin Yang, Queen Mary University of London; Li Zhang, Queen Mary University of London; Tao Xiang, Queen Mary University of London; Phil Torr, Oxford; Timothy Hospedales, University of Edinburgh"
458,Spotlight,Iterative Visual Reasoning Beyond Convolutions,https://github.com/coderSkyChen/Iterative-Visual-Reasoning.pytorch,"Xinlei Chen, Facebook; Li-jia Li, Google Inc; Fei-Fei Li, Google Inc.; Abhinav Gupta,"
2114,Poster,Structure Inference Net: Object Detection Using Scene-Level Context and Instance-Level Relationships,https://github.com/choasup/SIN,"Yong Liu, ICT; Ruiping Wang, Institute of Computing Technology, Chinese Academy of Sciences; Shiguang Shan, Chinese Academy of Sciences; Xilin Chen,"
1584,Spotlight,PlaneNet: Piece-wise Planar Reconstruction from a Single RGB Image,https://github.com/art-programmer/PlaneNet,"Chen Liu, WUSTL; Jimei Yang, ; Duygu Ceylan, ; Ersin Yumer, Argo AI; Yasutaka Furukawa,"
3606,Poster,Deep Back-Projection Networks For Super-Resolution,https://github.com/alterzero/DBPN-Pytorch,"Muhammad Haris, Toyota Technological Institute; Greg Shakhnarovich, ; Norimichi Ukita, NAIST"
1328,Spotlight,Tell Me Where To Look: Guided Attention Inference Network,https://github.com/alokwhitewolf/Guided-Attention-Inference-Network,"Kunpeng Li, Northeastern University; Ziyan Wu, Siemens Corporation; Kuan-Chuan Peng, Siemens Corporation; Jan Ernst, Siemens Corporation; Yun Fu, Northeastern University"
779,Poster,Unsupervised Cross-dataset Person Re-identification by Transfer Learning of Spatio-temporal Patterns,https://github.com/ahangchen/Tfusion,"Jianming Lv, South China University of Technology; Weihang Chen, South China University of Technology; Qing Li, City University of Hong Kong; Can Yang, South China University of Technology"
12,Oral,DensePose: Multi-Person Dense Human Pose Estimation In The Wild,,"Alp Guler, INRIA; Natalia Neverova, Facebook AI Research; Iasonas Kokkinos, FAIR/UCL"
27,Spotlight,Shape from Shading through Shape Evolution,,"Dawei Yang, University of Michigan; Jia Deng,"
37,Spotlight,End-to-End Dense Video Captioning with Masked Transformer,,"Luowei Zhou, University of Michigan; Yingbo Zhou, Salesforce; Jason Corso, ; Richard Socher, Meta-Mind; Caiming Xiong, Salesforce"
53,Spotlight,TieNet: Text-Image Embedding Network for Common Thorax Disease Classification and Reporting in Chest X-rays,,"Xiaosong Wang, NIH; Yifan Peng, NIH NLM; Le Lu, Nvidia Corp; Zhiyong Lu, ; Ronald Summers,"
76,Oral,Context Encoding for Semantic Segmentation,,"Hang Zhang, Rutgers University; Kristin Dana, ; Jianping Shi, SenseTime; Zhongyue Zhang, Amazon; Xiaogang Wang, Chinese University of Hong Kong; Ambrish Tyagi, Amazon; Amit Agrawal, Amazon"
103,Spotlight,"Real-World Repetition Estimation by Div, Grad and Curl",,"Tom Runia, University of Amsterdam; Cees Snoek, University of Amsterdam; Arnold Smeulders, University of Amsterdam, Netherlands"
110,Spotlight,Learning Intrinsic Image Decomposition from Watching the World,,"Zhengqi Li, Cornell University; Noah Snavely, Cornell University / Google"
128,Oral,Augmented Skeleton Space Transfer for Depth-based Hand Pose Estimation,,"Seungryul Baek, Imperial College London; Kwang In Kim, University of Bath; Tae-Kyun Kim, Imperial College London"
142,Spotlight,Multi-view Harmonized Bilinear Network for 3D Object Recognition,,"Tan Yu, Nanyang Technological Univ; Jingjing Meng, ; Junsong Yuan, Nanyang Technological University"
144,Spotlight,Tangent Convolutions for Dense Prediction in 3D,,"Maxim Tatarchenko, Freiburg; Jaesik Park, Intel Labs; Qian-Yi Zhou, ABQ Technologies; Vladlen Koltun, Intel Labs"
145,Oral,Semi-parametric Image Synthesis,,"Xiaojuan Qi, CUHK; Qifeng Chen, Intel Labs; Jiaya Jia, Chinese University of Hong Kong; Vladlen Koltun, Intel Labs"
155,Spotlight,3D Hand Pose Estimation: From Current Achievements to Future Goals,,"Shanxin Yuan, Imperial College London; Guillermo Garcia-Hernando, Imperial College London; Bjorn Stenger, ; Tae-Kyun Kim, Imperial College London; Gyeongsik Moon, Seoul National University; Ju Yong Chang, Kwangwoon University; Kyoung Mu Lee, ; Pavlo Molchanov, NVIDIA Research; Liuhao Ge, NTU; Junsong Yuan, Nanyang Technological University; Xinghao Chen, Tsinghua University; Guijin Wang, Tsinghua University; Fan Yang, Nara institute of science and technology; Kai Akiyama, Nara Institute of Science and Technology; Yang Wu, Nara Institute of Science and Technology; Qingfu Wan, Fudan University; Meysam Madadi, Autonomus University of Barcelona and Computer Vision Center, Barcelona, Spain; Sergio Escalera, University of Barcelona; Shile Li, Technical University of Munich; Dongheui Lee, Technical University of Munich; Iason Oikonomidis, FORTH; Antonis Argyros, FORTH"
167,Spotlight,BlockDrop: Dynamic Inference Paths in Residual Networks,,"Zuxuan Wu, University of Maryland; Tushar Nagarajan, University of Texas at Austin; Abhishek Kumar, ; Steven Rennie, ; Larry Davis, University of Maryland, USA; Kristen Grauman, ; Rogerio Feris, IBM"
181,Oral,Practical Block-wise Neural Network Architecture Generation,,"Zhao Zhong, Institute of Automation,CAS; Junjie Yan, ; Wei Wu, ; Jing Shao, The Sensetime Group Limited; cheng-lin Liu,"
185,Oral,Are You Talking to Me? Reasoned Visual Dialog Generation through Adversarial Learning,,"Qi Wu, University of Adelaide; Peng Wang, ; Chunhua Shen, University of Adelaide; Ian Reid, ; Anton Van den Hengel, University of Adelaide"
203,Spotlight,Nonlinear 3D Face Morphable Model,,"LUAN TRAN, Michigan State University; Xiaoming Liu, Michigan State University"
205,Spotlight,Neural Baby Talk,,"Jiasen Lu, Georgia Institute of Technology; Jianwei Yang, Georgia Tech; Dhruv Batra, Georgia Tech; Devi Parikh, Georgia Tech"
242,Spotlight,Few-Shot Image Recognition by Predicting Parameters from Activations,,"Siyuan Qiao, Johns Hopkins University; Chenxi Liu, JHU; Wei Shen, Shanghai University; Alan Yuille,"
270,Oral,Illuminant Spectra-based Source Separation Using Flash Photography,,"Zhuo Hui, Carnegie Mellon University; Kalyan Sunkavalli, Adobe Systems Inc.; Sunil Hadap, ; Aswin Sankaranarayanan, Carnegie Mellon University"
281,Spotlight,Tracking Multiple Objects Outside the Line of Sight using Speckle Imaging,,"Brandon Smith, University of Wisconsin-Madiso; Matthew O'Toole, Stanford University; Mohit Gupta, Wisconsin"
298,Spotlight,Audio to Body Dynamics,,"Eli Shlizerman, Facebook; Lucio Dery, Stanford; Hayden Schoen, Facebook; Ira Kemelmacher,"
325,Spotlight,Super SloMo: High Quality Estimation of Multiple Intermediate Frames for Video Interpolation,,"Huaizu Jiang, UMass Amherst; Deqing Sun, NVIDIA; Varun Jampani, NVIDIA Research; Ming-Hsuan Yang, UC Merced; Erik Miller, ; Jan Kautz, NVIDIA"
350,Spotlight,Deep Adversarial Metric Learning,,"Yueqi Duan, Tsinghua University; Wenzhao Zheng, Tsinghua University; Xudong Lin, Tsinghua University; Jiwen Lu, Tsinghua University; Jie Zhou,"
369,Oral,"Total Capture: A 3D Deformation Model for Tracking Faces, Hands, and Bodies",,"Hanbyul Joo, CMU; Tomas Simon, Oculus Research; Yaser Sheikh,"
374,Spotlight,Consensus Maximization for Semantic Region Correspondences,,"Pablo Speciale, ETH; Danda Paudel, ; Martin Oswald, ETH Zurich; Hayko Riemenschneider, Computer Vision Lab, ETH Zurich; Luc Van Gool, KTH; Marc Pollefeys, ETH"
