No,title,github/code,paper reading article,project link,Catorgory,Oral day,Oral session,Oral time,Poster day,Poster session,Poster #,First author,Author
236,Edge-Labeling Graph Neural Network for Few-Shot Learning,https://github.com/khy0809/fewshot-egnn,,,,Tuesday,Oral 1.1A,9:05,Tuesday,Poster 1.1,2,Jongmin Kim,"Jongmin Kim, Taesup Kim, Sungwoong Kim, Chang D. Yoo"
63,ScratchDet: Exploring to Train Single-Shot Object Detectors from Scratch,https://github.com/KimSoybean/ScratchDet,https://mp.weixin.qq.com/s/TZj0QzDXE6QbCY5-pT6RNQ,,,Tuesday,Oral 1.2A,14:47,Tuesday,Poster 1.2,31,Rui Zhu,"Rui Zhu, Shifeng Zhang, Xiaobo Wang, Longyin Wen, Hailin Shi, Liefeng Bo, Tao Mei?"
75,Meta-Learning With Differentiable Convex Optimization,https://github.com/kjunelee/MetaOptNet,,,,Thursday,Oral 3.2A,13:48,Thursday,Poster 3.2,4,Kwonjoon Lee,"Kwonjoon Lee, Subhransu Maji, Avinash Ravichandran, Stefano Soatto"
112,FineGAN: Unsupervised Hierarchical Disentanglement for Fine-Grained Object Generation and Discovery,https://github.com/kkanshul/finegan,,,,Wednesday,Oral 2.2A,14:24,Wednesday,Poster 2.2,34,Krishna Kumar Singh,"Krishna Kumar Singh, Utkarsh Ojha, Yong Jae Lee"
70,Unsupervised Person Re-Identification by Soft Multilabel Learning,https://github.com/KovenYu/MAR,,,,Tuesday,Oral 1.2A,13:35,Tuesday,Poster 1.2,19,Hong-Xing Yu,"Hong-Xing Yu, Wei-Shi Zheng, Ancong Wu, Xiaowei Guo, Shaogang Gong, Jian-Huang Lai?"
272,Representation Similarity Analysis for Efficient Task Taxonomy & Transfer Learning,https://github.com/kshitijd20/RSA-CVPR19-release,,,,,,,Thursday,Poster 3.2,180,Kshitij Dwivedi,"Kshitij Dwivedi, Gemma Roig"
395,DeepCO3: Deep Instance Co-Segmentation by Co-Peak Search and Co-Saliency Detection,https://github.com/KuangJuiHsu/DeepCO3?,,,,Thursday,Oral 3.1C,8:48,Thursday,Poster 3.1,58,Kuang-Jui Hsu,"Kuang-Jui Hsu, Yen-Yu Lin, Yung-Yu Chuang"
396,Deep Metric Learning to Rank,https://github.com/kunhe/FastAP-metric-learning,,,,,,,Tuesday,Poster 1.1,188,Fatih Cakir,"Fatih Cakir*,?Kun He*,?Xide Xia,?Brian Kulis, and?Stan Sclaroff"
297,Additive Adversarial Learning for Unbiased Authentication,https://github.com/langlrsw/AAL-unbiased-authentication,,,,,,,Thursday,Poster 3.2,46,Jian Liang,"Jian Liang, Yuren Cao, Chenbin Zhang, Shiyu Chang, Kun Bai, Zenglin Xu"
1098,HPLFlowNet: Hierarchical Permutohedral Lattice FlowNet for Scene Flow Estimation on Large-Scale Point Clouds,https://github.com/laoreja/HPLFlowNet,,,,,,,Tuesday,Poster 1.2,78,Xiuye Gu,
248,Learning Cross-Modal Embeddings With Adversarial Networks for Cooking Recipes and Food Images,https://github.com/LARC-CMU-SMU/ACME,,,,,,,Thursday,Poster 3.2,61,Hao Wang,"Hao Wang, Doyen Sahoo, Chenghao Liu, Ee-peng Lim, Steven C. H. Hoi?"
820,3DN: 3D Deformation Network,https://github.com/laughtervv/3DN,,,,,,,Tuesday,Poster 1.1,93,Weiyue Wang,
223,Self-Supervised Spatio-Temporal Representation Learning for Videos by Predicting Motion and Appearance Statistics,https://github.com/laura-wang/video_repres_mas,,,,,,,Tuesday,Poster 1.2,190,Jiangliu Wang,"Jiangliu Wang, Jianbo Jiao, Linchao Bao, Shengfeng He, Yunhui Liu, Wei Liu"
846,Explore-Exploit Graph Traversal for Image Retrieval,https://github.com/layer6ai-labs/egt,,,,,,,Thursday,Poster 3.1,49,Cheng Chang,
11,Joint Discriminative and Generative Learning for Person Re-Identification,https://github.com/layumi/Person_reID_baseline_pytorch,https://mp.weixin.qq.com/s/51X7NIS1UEXJ1sqx54tuwg,,,Tuesday,Oral 1.2A,13:30,Tuesday,Poster 1.2,18,Zhedong Zheng,"Zhedong Zheng, Xiaodong Yang, Zhiding Yu, Liang Zheng, Yi Yang, Jan Kautz"
298,"Isospectralization, or How to Hear Shape, Style, and Correspondence",https://github.com/lcosmo/isospectralization,,,,,,,Wednesday,Poster 2.2,80,Luca Cosmo,"Luca Cosmo, Mikhail Panine, Arianna Rampini, Maks Ovsjanikov, Michael M. Bronstein, Emanuele Rodol¨¤"
397,Hierarchical Cross-Modal Talking Face Generation With Dynamic Pixel-Wise Loss,https://github.com/lelechen63/ATVGnet,,,,,,,Wednesday,Poster 2.2,111,Lele Chen,"Lele Chen , Ross K Maddox, Zhiyao Duan, Chenliang Xu"
398,Bridging Stereo Matching and Optical Flow via Spatiotemporal Correspondence,https://github.com/lelimite4444/BridgeDepthFlow ,,,,,,,Tuesday,Poster 1.1,191,Hsueh-Ying Lai,"Hsueh-Ying Lai, Yi-Hsuan Tsai, Wei-Chen Chiu"
504,LaSO: Label-Set Operations Networks for Multi-Label Few-Shot Learning,https://github.com/leokarlin/LaSO,,,,Wednesday,Oral 2.2A,15:00,Wednesday,Poster 2.2,40,Amit Alfassy,
127,"Spherical Regression: Learning Viewpoints, Surface Normals and 3D Rotations on N-Spheres",https://github.com/leoshine/Spherical_Regression,,,,,,,Thursday,Poster 3.1,113,Shuai Liao,"Shuai Liao, Efstratios Gavves, Cees G. M. Snoek"
10,Deep High-Resolution Representation Learning for Human Pose Estimation,https://github.com/leoxiaobin/deep-high-resolution-net.pytorch,https://mp.weixin.qq.com/s/ZRCzBTBmlEzQCVo1HLWtbQ,,,,,,Wednesday,Poster 2.1,130,Ke Sun,"Ke Sun, Bin Xiao, Dong Liu, Jingdong Wang"
399,Multi-Target Embodied Question Answering,https://github.com/lichengunc/mteqa,,,,,,,Wednesday,Poster 2.1,208,Licheng Yu,"Yu, Licheng and Chen, Xinlei and Gkioxari, Georgia and Bansal, Mohit and Berg, Tamara L and Batra, Dhruv"
202,Leveraging the Invariant Side of Generative Zero-Shot Learning,https://github.com/lijin118/LisGAN,,,,,,,Wednesday,Poster 2.2,67,Jingjing Li,"Jingjing Li, Mengmeng Jin, Ke Lu, Zhengming Ding, Lei Zhu, Zi Huang"
400,Learning to Learn From Noisy Labeled Data,https://github.com/LiJunnan1992/MLNT,,,,,,,Wednesday,Poster 2.1,50,Junnan Li,"Junnan Li, Y. Wong, Qi Zhao, M. Kankanhalli "
187,Actional-Structural Graph Convolutional Networks for Skeleton-Based Action Recognition,https://github.com/limaosen0/AS-GCN,,,,,,,Tuesday,Poster 1.2,112,Maosen Li,"Maosen Li, Siheng Chen, Xu Chen, Ya Zhang, Yanfeng Wang, and Qi Tian "
53,Decoders Matter for Semantic Segmentation: Data-Dependent Decoding Enables Flexible Feature Aggregation,https://github.com/LinZhuoChen/DUpsampling,,,,,,,Tuesday,Poster 1.2,65,Zhi Tian,"Zhi Tian, Chunhua Shen, Tong He, Youliang Yanl"
197,Label Efficient Semi-Supervised Learning via Graph Filtering,https://github.com/liqimai/Efficient-SSL,,,,,,,Thursday,Poster 3.1,95,Qimai Li,Qimai Li£¬Xiao-Ming Wu£¬Han Liu£¬Xiaotong Zhang
87,Pose2Seg: Detection Free Human Instance Segmentation,https://github.com/liruilong940607/Pose2Seg,,http://www.liruilong.cn/Pose2Seg/index.html?,,,,,Tuesday,Poster 1.1,66,Song-Hai Zhang,"Song-Hai Zhang, Ruilong Li, Xin Dong, Paul L. Rosin, Zixi Cai, Han Xi, Dingcheng Yang, Hao-Zhi Huang, Shi-Min Hu"
181,Heavy Rain Image Restoration: Integrating Physics Model and Conditional Adversarial Learning,https://github.com/liruoteng/HeavyRainRemoval,,,,,,,Tuesday,Poster 1.1,165,Ruoteng Li,"Ruotent Li, Loong Fah Cheong, Robby T. Tan"
211,Lending Orientation to Neural Networks for Cross-View Geo-Localization,https://github.com/Liumouliu/OriCNN,,,,,,,Wednesday,Poster 2.1,123,Liu Liu,"Liu Liu, Hongdong Li"
218,Dual Residual Networks Leveraging the Potential of Paired Operations for Image Restoration,https://github.com/liu-vis/DualResidualNetworks,,,,,,,Wednesday,Poster 2.2,8,Xing Liu,"Xing Liu, Masanori Suganuma, Zhun Sun, Takayuki Okatani"
34,High-Level Semantic Feature Detection: A New Perspective for Pedestrian Detection,https://github.com/liuwei16/CSP,,,,,,,Wednesday,Poster 2.1,64,Wei Liu,"Zhao-Min Chen, Xiu-Shen Wei Peng Wang3Yanwen Guo"
106,Partial Order Pruning: For Best Speed/Accuracy Trade-Off in Neural Architecture Search,https://github.com/lixincn2015/Partial-Order-Pruning,,,,,,,Thursday,Poster 3.1,20,Xin Li,"Xin Li, Yiming Zhou, Zheng Pan, Jiashi Feng "
128,Bidirectional Learning for Domain Adaptation of Semantic Segmentation,https://github.com/liyunsheng13/BDL,,https://voca.is.tue.mpg.de/,,,,,Wednesday,Poster 2.2,1,Yunsheng Li,"Yunsheng Li, Lu Yuan, Nuno Vasconcelos"
57,Occupancy Networks: Learning 3D Reconstruction in Function Space,https://github.com/LMescheder/Occupancy-Networks,,,,Wednesday,Oral 2.1B,8:53,Wednesday,Poster 2.1,110,Lars Mescheder,Lars Mescheder and Michael Oechsle and Michael Niemeyer and Sebastian Nowozin and Andreas Geiger
401,Learning Parallax Attention for Stereo Image Super-Resolution,https://github.com/LongguangWang/PASSRnet,,,,,,,Thursday,Poster 3.2,166,Longguang Wang,"Longguang Wang, Yingqian Wang, Zhengfa Liang, Zaiping Lin, Jungang Yang, Wei An, Yulan Guo"
120,Spatiotemporal CNN for Video Object Segmentation,https://github.com/longyin880815/STCNN,,,,,,,Tuesday,Poster 1.1,139,Kai Xu,"Kai Xu, Longyin Wen, Guorong Li, Liefeng Bo, Qingming Huang"
109,End-To-End Multi-Task Learning With Attention,https://github.com/lorenmt/mtan,,,,,,,Tuesday,Poster 1.1,189,Shikun Liu,"Shikun Liu, Edward Johns, Andrew J. Davison"
285,MAP Inference via Block-Coordinate Frank-Wolfe Algorithm,https://github.com/LPMP/LPMP,,,,Thursday,Oral 3.2C,15:05,Thursday,Poster 3.2,163,Paul Swoboda,"Paul Swoboda, Vladimir Kolmogorov"
402,Two-Stream Adaptive Graph Convolutional Networks for Skeleton-Based Action Recognition,https://github.com/lshiwjx/2s-AGCN,,,,,,,Thursday,Poster 3.2,125,Lei Shi,
152,Single Image Deraining: A Comprehensive Benchmark Analysis,https://github.com/lsy17096535/Single-Image-Deraining,,,,,,,Tuesday,Poster 1.2,155,Siyuan Li,"Siyuan Li, Iago Breno Araujo, Wenqi Ren, Zhangyang Wang, Eric K. Tokuda, Roberto Hirata Junior, Roberto Cesar-Junior, Jiawan Zhang, Xiaojie Guo, Xiaochun Cao"
188,SparseFool: A Few Pixels Make a Big Difference,https://github.com/LTS4/SparseFool,,,,,,,Thursday,Poster 3.1,14,Apostolos Modas,"Apostolos Modas, Seyed-Mohsen Moosavi-Dezfooli, Pascal Frossard"
155,Taking a Deeper Look at the Inverse Compositional Algorithm,https://github.com/lvzhaoyang/DeeperInverseCompositionalAlgorithm,,,,Wednesday,Oral 2.1C,8:35,Wednesday,Poster 2.1,136,Zhaoyang Lv,"Zhaoyang Lv, Frank Dellaert, James M. Rehg, Andreas Geiger"
403,Dense Intrinsic Appearance Flow for Human Pose Transfer,https://github.com/ly015/intrinsic_flow?,,,,,,,Tuesday,Poster 1.2,140,Yining Li,"Yining Li, Chen Huang, Chen Change Loy"
60,Pluralistic Image Completion,https://github.com/lyndonzheng/Pluralistic-Inpainting,,http://www.chuanxiaz.com/publication/pluralistic/,,,,,Tuesday,Poster 1.1,145,Chuanxia Zheng,"Chuanxia Zheng, Tat-Jen Cham, Jianfei Cai?"
404,TopNet: Structural Point Cloud Decoder,https://github.com/lynetcha/completion3d,,,,,,,Tuesday,Poster 1.1,15,Lyne P. Tchapmi,"Tchapmi, Lyne P and Kosaraju, Vineet and Rezatofighi, S. Hamid and Reid, Ian and Savarese, Silvio"
113,Attention Branch Network: Learning of Attention Mechanism for Visual Explanation,https://github.com/machine-perception-robotics-group/attention_branch_network,,,,Thursday,Oral 3.2A,14:16,Thursday,Poster 3.2,9,Hiroshi Fukui,"Hiroshi Fukui, Tsubasa Hirakawa, Takayoshi Yamashita, Hironobu Fujiyoshi"
405,End-To-End Efficient Representation Learning via Cascading Combinatorial Optimization,https://github.com/maestrojeong/Deep-Hash-Table-CVPR19?,,,,,,,Thursday,Poster 3.2,41,Yeonwoo Jeong,"Yeonwoo Jeong, Yoonsuing Kim, Hyun Oh Song"
406,Multi-Similarity Loss With General Pair Weighting for Deep Metric Learning,https://github.com/MalongTech/research-ms-loss?,,,,,,,Wednesday,Poster 2.1,47,Xun Wang,"Xun Wang, Xintong Han, Weilin Huang, Dengke Dong, Matthew R. Scott"
189,Unsupervised Embedding Learning via Invariant and Spreading Instance Feature,https://github.com/mangye16/Unsupervised_Embedding_Learning,,,,,,,Wednesday,Poster 2.1,198,Mang Ye,"Mang Ye, Xu Zhang, Pong C. Yuen, Shih-Fu Chang"
407,Seamless Scene Segmentation,https://github.com/mapillary/seamseg,,,,,,,Wednesday,Poster 2.2,174,Lorenzo Porzi,"Lorenzo Porzi, Samuel Rota Bul¨°, Aleksander Colovic, Peter Kontschieder"
198,AET vs. AED: Unsupervised Representation Learning by Auto-Encoding Transformations Rather Than Data,https://github.com/maple-research-lab/AET,,,,Tuesday,Oral 1.2C,13:58,Tuesday,Poster 1.2,171,Liheng Zhang,"Liheng Zhang, Guo-Jun Qi, Liqiang Wang, Jiebo Luo"
408,Light Field Messaging With Deep Photographic Steganography,https://github.com/mathski/LFM,,,,,,,Tuesday,Poster 1.1,153,Eric Wengrowski,Eric Wengrowski and Kristin Dana
280,Robustness of 3D Deep Learning in an Adversarial Setting,https://github.com/matthewwicker/IterativeSalienceOcclusion,,,,,,,Thursday,Poster 3.2,81,Matthew Wicker,"Matthew Wicker, Marta Kwiatkowska"
409,Guided Stereo Matching,https://github.com/mattpoggi/guided-stereo,,,,,,,Tuesday,Poster 1.1,87,Matteo Poggi," Matteo Poggi, Davide Pallotti, Fabio Tosi and Stefano Mattoccia,"
237,A Cross-Season Correspondence Dataset for Robust Semantic Segmentation,https://github.com/maunzzz/cross-season-segmentation,,,,,,,Thursday,Poster 3.1,75,Mans Larsson,"M?ns Larsson, Erik Stenborg, Lars Hammarstrand, Torsten Sattler, Mark Pollefeys, Fredrik Kahl "
410,Why ReLU Networks Yield High-Confidence Predictions Far Away From the Training Data and How to Mitigate the Problem,https://github.com/max-andr/relu_networks_overconfident,,,,Tuesday,Oral 1.1A,9:23,Tuesday,Poster 1.1,5,Matthias Hein,"Matthias Hein, Maksym Andriushchenko, Julian Bitterwolf"
897,Rethinking the Evaluation of Video Summaries,https://github.com/mayu-ot/rethinking-evs,,,,,,,Wednesday,Poster 2.2,87,Mayu Otani,
411,Deep Blind Video Decaptioning by Temporal Aggregation and Recurrence,https://github.com/mcahny/Deep_Blind_Video_Decaptioning?,,,,,,,Tuesday,Poster 1.2,216,Dahun Kim,"Dahun Kim, Sanghyun Woo, Joon-Young Lee, In So Kweon"
412,Deep Video Inpainting,https://github.com/mcahny/Deep_Video_Inpainting,,,,,,,Wednesday,Poster 2.1,155,Dahun Kim,"Dahun Kim, Sanghyun Woo, Joon-Young Lee, In So Kweon"
413,Learning to Extract Flawless Slow Motion From Blurry Videos,https://github.com/MeiguangJin/slow-motion,,,,,,,Wednesday,Poster 2.2,157,Meiguang Jin,"Jin, Meiguang and Hu, Zhe and Favaro, Paolo"
157,SIXray: A Large-Scale Security Inspection X-Ray Benchmark for Prohibited Item Discovery in Overlapping Images,https://github.com/MeioJane/SIXray,,,,,,,Tuesday,Poster 1.1,214,Caijing Miao,"Caijing Miao, Lingxi Xie, Fang Wan, Chi Su, Hongye Liu, Jianbin Jiao, Qixiang Ye"
414,Self-Supervised 3D Hand Pose Estimation Through Training by Fitting,https://github.com/melonwan/sphereHand,,,,Thursday,Oral 3.2B,13:58,Thursday,Poster 3.2,97,Chengde Wan,
38,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,https://github.com/MenghaoGuo/AutoDeeplab,,,,Tuesday,Oral 1.1A,9:46,Tuesday,Poster 1.1,9,Chenxi Liu,"Peng Zhang, Fuhao Zou, Zhiwen Wu, Nengli Dai, Skarpness Mark, Michael Fu, Juan Zhao, Kai Li"
273,SIGNet: Semantic Instance Aided Unsupervised 3D Geometry Perception,https://github.com/mengyuest/SIGNet,,https://mengyuest.github.io/SIGNet/,,,,,Thursday,Poster 3.1,118,Yue Meng,"Y. Meng, Y. Lu, A. Raj, S. Sunarjo, R. Guo, T. Javidi, G. Bansal, D. Bharadia"
249,Variational Prototyping-Encoder: One-Shot Learning With Prototypical Images,https://github.com/mibastro/VPE,,,,,,,Thursday,Poster 3.1,53,Junsik Kim,"Junsik Kim, Tae-Hyun Oh, Seokju Lee, Fei Pan, In So Kweon"
78,D2-Net: A Trainable CNN for Joint Description and Detection of Local Features,https://github.com/mihaidusmanu/d2-net,,https://dsmn.ml/publications/d2-net.html,,,,,Wednesday,Poster 2.2,155,Mihai Dusmanu,"Mihai Dusmanu,?Ignacio Rocco,?Tomas Pajdla,?Marc Pollefeys,?Josef Sivic,?Akihiko Torii,?Torsten Sattler"
49,Pseudo-LiDAR From Visual Depth Estimation: Bridging the Gap in 3D Object Detection for Autonomous Driving,https://github.com/mileyan/pseudo_lidar,,https://mileyan.github.io/pseudo_lidar/,,,,,Wednesday,Poster 2.2,209,Yan Wang,"Yan Wang, Wei-Lun Chao, Divyansh Garg, Bharath Hariharan, Mark Campbell, Kilian Q. Weinberger"
415,Deep Modular Co-Attention Networks for Visual Question Answering,https://github.com/MILVLG/mcan-vqa,,,,,,,Wednesday,Poster 2.1,205,Zhou Yu,"Zhou Yu, Jun Yu, Yuhao Cui, Dacheng Tao, Qi Tian"
20,HAQ: Hardware-Aware Automated Quantization With Mixed Precision,https://github.com/MIT-HAN-LAB/ProxylessNAS,,https://hanlab.mit.edu/projects/haq/,,Thursday,Oral 3.1A,9:24,Thursday,Poster 3.1,199,Kuan Wang,"Kuan Wang,?Zhijian Liu,?Yujun Lin,?Ji Lin,?Song Han"
41,Self-Supervised Learning of 3D Human Pose Using Multi-View Geometry,https://github.com/mkocabas/EpipolarPose,,,,,,,Tuesday,Poster 1.1,97,Muhammed Kocabas,"Muhammed Kocabas, Salih Karagoz, Emre Akbas"
89,PoseFix: Model-Agnostic General Human Pose Refinement Network,https://github.com/mks0601/PoseFix_RELEASE,,,,,,,Wednesday,Poster 2.2,105,Gyeongsik Moon,"Gyeongsik Moon, Ju Yong Chang, Kyoung Mu Lee "
286,Meta-Learning Convolutional Neural Architectures for Multi-Target Concrete Defect Classification With the COncrete DEfect BRidge IMage Dataset,https://github.com/MrtnMndt/meta-learning-CODEBRIM,,,,,,,Thursday,Poster 3.2,22,Martin Mundt,"Martin Mundt, Sagnik Majumder, Sreenivas Murali, Panagiotis Panetsos, Visvanathan Ramesh"
5,"Deformable ConvNets V2: More Deformable, Better Results",https://github.com/msracver/Deformable-ConvNets,,,,,,,Thursday,Poster 3.1,37,Xizhou Zhu,"Xizhou Zhu,?Han Hu,?Stephen Lin,?Jifeng Dai"
212,Query-Guided End-To-End Person Search,https://github.com/munjalbharti/Query-guided-End-to-End-Person-Search,,,,,,,Tuesday,Poster 1.1,58,Bharti Munjal,"Bharti Munjal, Sikandar Amin, Federico Tombari, Fabio Galasso"
203,Sliced Wasserstein Generative Models,https://github.com/musikisomorphie/swd,,,,,,,Tuesday,Poster 1.2,142,Jiqing Wu,"Jiqing Wu, Zhiwu Huang, Dinesh Acharya, Wen Li, Janine Thoma, Danda Pani Paudel, Luc Van Gool"
416,Unsupervised Face Normalization With Extreme Pose and Expression in the Wild,https://github.com/mx54039q/fnm,,,,,,,Thursday,Poster 3.1,122,Yichen Qian,"Qian, Yichen and Deng, Weihong and Hu, Jiani"
500,Self-Supervised Representation Learning From Videos for Facial Action Unit Detection,https://github.com/mysee1989/TCAE,,,,Thursday,Oral 3.2B,14:42,Thursday,Poster 3.2,104,Yong Li,
921,RegularFace: Deep Face Recognition via Exclusive Regularization,https://github.com/naimple/regular-face-cvpr2019,,,,,,,Tuesday,Poster 1.1,103,Kai Zhao,
502,SiCloPe: Silhouette-Based Clothed People,https://github.com/nanopoteto/SiCloPe_CVPR,,,,Wednesday,Oral 2.1B,9:06,Wednesday,Poster 2.1,112,Ryota Natsume,
287,Out-Of-Distribution Detection for Generalized Zero-Shot Action Recognition,https://github.com/naraysa/gzsl-od,,,,,,,Thursday,Poster 3.1,136,Devraj Mandal,"Devraj Mandal, Sanath Narayan, Saikumar Dwivedi, Vikram Gupta, Shuaib Ahmed, Fahad Shahbaz Khan, Ling Shao"
219,BASNet: Boundary-Aware Salient Object Detection,https://github.com/NathanUA/BASNet,,,,,,,Wednesday,Poster 2.2,75,Xuebin Qin,"Zichen Zhang, Chenyang Huang, Chao Gao, Masood Dehghan and Martin Jagersand"
160,Camera Lens Super-Resolution,https://github.com/ngchc/CameraSR,,,,,,,Tuesday,Poster 1.1,167,Chang Chen,"Chang Chen, Zhiwei Xiong, Xinmei Tian, Zheng-Jun Zha, Feng Wu"
74,Style Transfer by Relaxed Optimal Transport and Self-Similarity,https://github.com/nkolkin13/STROTSS,,,,,,,Thursday,Poster 3.1,143,Nicholas Kolkin,"Nicholas Kolkin, Jason Salavon, Gregory Shakhnarovich "
417,Convolutional Mesh Regression for Single-Image Human Shape Reconstruction,https://github.com/nkolot/GraphCMR,,,,Wednesday,Oral 2.1B,9:16,Wednesday,Poster 2.1,114,Nikos Kolotouros,"Nikos Kolotouros, Georgios Pavlakos, Kostas Daniilidis"
213,Timeception for Complex Action Recognition,https://github.com/noureldien/timeception,,,,Tuesday,Oral 1.1C,9:05,Tuesday,Poster 1.1,110,Noureldien Hussein,"Noureldien Hussein, Efstratios Gavves, Arnold W.M. Smeulders"
914,OCGAN: One-Class Novelty Detection Using GANs With Constrained Latent Representations,https://github.com/nuclearboy95/Anomaly-Detection-OCGAN-tensorflow,https://mp.weixin.qq.com/s/FXKWP4OlUsprSDgU7ue8CA?,,,,,,Tuesday,Poster 1.2,42,Pramuditha Perera,"Pramuditha Perera, Ramesh Nallapati, Bing Xiang"
46,PointPillars: Fast Encoders for Object Detection From Point Clouds,https://github.com/nutonomy/second.pytorch,,,,,,,Thursday,Poster 3.2,211,Alex H. Lang,"Alex H. Lang, Sourabh Vora, Holger Caesar, Lubing Zhou, Jiong Yang, Oscar Beijbom"
418,Improving Semantic Segmentation via Video Propagation and Label Relaxation,https://github.com/NVIDIA/semantic-segmentation,,,,Thursday,Oral 3.1C,8:53,Thursday,Poster 3.1,59,Yi Zhu,"Yi Zhu, Karan Sapra, Fitsum A. Reda, Kevin J. Shih, Shawn Newsam, Andrew Tao, Bryan Catanzaro"
419,Pixel-Adaptive Convolutional Neural Networks,https://github.com/NVlabs/pacnet,,,,,,,Thursday,Poster 3.2,19,Hang Su,"Hang Su, Varun Jampani, Deqing Sun, Orazio Gallo, Erik Learned-Miller, and Jan Kautz."
40,PlaneRCNN: 3D Plane Detection and Reconstruction From a Single Image,https://github.com/NVlabs/planercnn,,https://research.nvidia.com/publication/2019-06_PlaneRCNN,,Wednesday,Oral 2.1B,8:48,Wednesday,Poster 2.1,109,Chen Liu,"Chen Liu, Kihwan Kim, Jinwei Gu, Yasutaka Furukawa, Jan Kautz"
420,SCOPS: Self-Supervised Co-Part Segmentation,https://github.com/NVlabs/SCOPS,,https://varunjampani.github.io/scops/,,,,,Tuesday,Poster 1.1,64,Wei-Chih Hung,Wei-Chih Hung        Varun Jampani        Sifei Liu        Pavlo Molchanov        Ming-Hsuan Yang        Jan Kautz
3,Semantic Image Synthesis With Spatially-Adaptive Normalization,https://github.com/NVlabs/SPADE,,,,Tuesday,Oral 1.2B,13:40,Tuesday,Poster 1.2,120,Taesung Park,"Taesung Park, Ming-Yu Liu, Ting-Chun Wang, Jun-Yan Zhu"
2,A Style-Based Generator Architecture for Generative Adversarial Networks,https://github.com/NVlabs/stylegan,,,GAN,Wednesday,Oral 2.1A,9:47,Wednesday,Poster 2.1,14,Tero Karras,"Tero Karras (NVIDIA), Samuli Laine (NVIDIA), Timo Aila (NVIDIA)"
421,Importance Estimation for Neural Network Pruning,https://github.com/NVlabs/Taylor_pruning,,,,,,,Thursday,Poster 3.2,29,Pavlo Molchanov,"Pavlo Molchanov, Arun Mallya, Stephen Tyree, Iuri Frosio, Jan Kautz"
422,Devil Is in the Edges: Learning Semantic Boundaries From Noisy Annotations,https://github.com/nv-tlabs/STEAL,,https://nv-tlabs.github.io/STEAL/?,,Thursday,Oral 3.2C,14:24,Thursday,Poster 3.2,156,David Acuna,"David Acuna, Amlan Kar, Sanja Fidler"
423,Libra R-CNN: Towards Balanced Learning for Object Detection,https://github.com/OceanPang/Libra_R-CNN,,,,,,,Tuesday,Poster 1.1,59,Jiangmiao Pang,
424,3D Appearance Super-Resolution With Deep Learning,https://github.com/ofsoundof/3D_Appearance_SR,,,,,,,Thursday,Poster 3.1,104,Yawei Li,"Yawei Li, Vagia Tsiminaki, Radu Timofte, Marc Pollefeys, Luc van Gool"
58,DeepSDF: Learning Continuous Signed Distance Functions for Shape Representation,https://github.com/Oktosha/DeepSDF-explained?,,,,Tuesday,Oral 1.1B,9:23,Tuesday,Poster 1.1,76,Jeong Joon Park,"Jeong Joon Park, Peter Florence, Julian Straub, Richard Newcombe, Steven Lovegrove"
425,Hybrid Task Cascade for Instance Segmentation,https://github.com/open-mmlab/mmdetection,https://mp.weixin.qq.com/s/xug0xKfc9RgJEUci1a_xog,,,,,,Wednesday,Poster 2.1,42,Kai Chen,"Kai Chen, Jiangmiao Pang, Jiaqi Wang, Yu Xiong, Xiaoxiao Li, Shuyang Sun, Wansen Feng, Ziwei Liu, Jianping Shi, Wanli Ouyang, Chen Change Loy, Dahua Lin"
426,Region Proposal by Guided Anchoring,https://github.com/open-mmlab/mmdetection,https://mp.weixin.qq.com/s/Sl958JkcJjy-HW9_c-SH4g,,,,,,Tuesday,Poster 1.2,49,Jiaqi Wang,"Jiaqi Wang, Kai Chen, Shuo Yang, Chen Change Loy, Dahua Lin"
170,Learning to Sample,https://github.com/orendv/learning_to_sample,,,,,,,Tuesday,Poster 1.2,10,Oren Dovrat,"Oren Dovrat, Itai Lang, Shai Avidan"
91,In Defense of Pre-Trained ImageNet Architectures for Real-Time Semantic Segmentation of Road-Driving Images,https://github.com/orsic/swiftnet,,,,,,,Thursday,Poster 3.2,202,Marin Orsic,"Marin Or?i?, Ivan Kre?o, Petra Bevandi?, Sini?a ?egvi?"
517,Unsupervised Learning of Dense Shape Correspondence,https://github.com/OshriHalimi/unsupervised_learning_of_dense_shape_correspondence,,,,Wednesday,Oral 2.1A,9:29,Wednesday,Poster 2.1,11,Oshri Halimi,
427,Translate-to-Recognize Networks for RGB-D Scene Recognition,https://github.com/ownstyledu/Translate-to-Recognize-Networks,,https://ownstyledu.github.io/Translate-to-Recognize-Networks/,,,,,Thursday,Poster 3.2,88,Dapeng Du,"Du, Dapeng and Wang, Limin and Wang, Huiling and Zhao, Kai and Wu, Gangshan"
265,Bringing a Blurry Frame Alive at High Frame-Rate With an Event Camera,https://github.com/panpanfei/Bringing-a-Blurry-Frame-Alive-at-High-Frame-Rate-with-an-Event-Camera,,,,Wednesday,Oral 2.2C,14:06,Wednesday,Poster 2.2,136,Liyuan Pan,"Liyuan Pan, Cedric Scheerlinck, Xin Yu, Richard Hartley, Miaomiao Liu, Yuchao Dai"
